Name,Designation,Company,Country,Best Available LinkedIn ID,Best Available LinkedIn URL,Verification Status,LinkedIn ID,LinkedIn URL,Match Status,Confidence,Match Evidence,Source URL
Simon Gorbutt,Deputy Chief Executive Officer,Luxembourg for Finance,Luxembourg [Grand Dutchy of],sgorbutt,https://www.linkedin.com/in/sgorbutt/,Verified - provided by GFF,sgorbutt,https://www.linkedin.com/in/sgorbutt/,provided,1.0,allSpeakersData LinkedIn field,https://globalfintechfest.com/speakers
Ajay Kaushal,Co-Founder & CEO,BillDesk,India,ajay-kaushal-014093141,https://www.linkedin.com/in/ajay-kaushal-014093141/,Candidate - manual review required,,,ambiguous,0.6,exact_name; candidate=https://www.linkedin.com/in/ajay-kaushal-014093141/; margin=0.00,https://globalfintechfest.com/speakers
Akash Sinha,Co-founder & CEO,Cashfree Payments India Private Limited,India,sinhaakash,https://www.linkedin.com/in/sinhaakash/,Verified - provided by GFF,sinhaakash,https://www.linkedin.com/in/sinhaakash/,provided,1.0,allSpeakersData LinkedIn field,https://globalfintechfest.com/speakers
Alexandre Kech,Chief Executive Officer,Global Legal Entity Identifier Foundation (GLEIF),Switzerland,alexandrekech,https://www.linkedin.com/in/alexandrekech/,Verified - provided by GFF,alexandrekech,https://www.linkedin.com/in/alexandrekech/,provided,1.0,allSpeakersData LinkedIn field,https://globalfintechfest.com/speakers
Alexandre Stervinou,Director Currency and Retail Payments,Banque de France,France,alexandre-stervinou-409b5b98,https://www.linkedin.com/in/alexandre-stervinou-409b5b98/,Candidate - manual review required,,,ambiguous,0.6,exact_name; candidate=https://www.linkedin.com/in/alexandre-stervinou-409b5b98/; margin=0.00,https://globalfintechfest.com/speakers
AMIT KUMAR JAIN,Director (Operations & Services),Delhi Metro Rail Corporation,India,amit-kumar-jain-2287383,https://www.linkedin.com/in/amit-kumar-jain-2287383/,Verified - high-confidence public match,amit-kumar-jain-2287383,https://www.linkedin.com/in/amit-kumar-jain-2287383/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/amit-kumar-jain-2287383/; margin=0.30,https://globalfintechfest.com/speakers
Anjani Kumar Rathor,Group Head - Digital and Customer Experience,HDFC BANK,India,,,No indexed candidate found,,,not_found,0.0,no eligible personal LinkedIn result,https://globalfintechfest.com/speakers
Ankit Ratan,Co-founder & CEO,Signzy,United States of America,ankitratan,https://www.linkedin.com/in/ankitratan/,Verified - provided by GFF,ankitratan,https://www.linkedin.com/in/ankitratan/,provided,1.0,allSpeakersData LinkedIn field,https://globalfintechfest.com/speakers
Anubrata Biswas,MD and CEO,Airtel Payments Bank,India,anubratabiswas,https://www.linkedin.com/in/anubratabiswas/,Verified - high-confidence public match,anubratabiswas,https://www.linkedin.com/in/anubratabiswas/,matched,1.0,exact_name; company_match; designation_match; candidate=https://www.linkedin.com/in/anubratabiswas/; margin=1.00,https://globalfintechfest.com/speakers
Anuradha Bhatia,CTO,Standard Chartered,India,anuradha-bhatia-19074937,https://www.linkedin.com/in/anuradha-bhatia-19074937/,Candidate - manual review required,,,ambiguous,0.6,exact_name; candidate=https://www.linkedin.com/in/anuradha-bhatia-19074937/; margin=0.00,https://globalfintechfest.com/speakers
Anurag Sinha,Co-founder & CEO,FPL Technologies,India,anuragsinha2,https://www.linkedin.com/in/anuragsinha2/,Verified - provided by GFF,anuragsinha2,https://www.linkedin.com/in/anuragsinha2/,provided,1.0,allSpeakersData LinkedIn field,https://globalfintechfest.com/speakers
